"date","speaking","pitch","energy","nodding"
Date(2016,02,03,00,04,31,00);1;216.73584;0.00781
Date(2016,02,03,00,04,32,00);1;240.42870;0.00501
Date(2016,02,03,00,04,33,00);1;213.61083;0.00543
Date(2016,02,03,00,04,34,00);1;214.41356;0.00287
Date(2016,02,03,00,04,35,00);1;232.22312;0.00291
Date(2016,02,03,00,04,36,00);1;193.36571;0.00338
Date(2016,02,03,00,04,37,00);1;199.55168;0.00656
Date(2016,02,03,00,04,38,00);1;218.61494;0.00601
Date(2016,02,03,00,04,39,00);1;212.44129;0.00361
Date(2016,02,03,00,04,40,00);1;203.64253;0.00357
Date(2016,02,03,00,04,41,00);1;195.18770;0.00148
Date(2016,02,03,00,04,42,00);1;203.37748;0.00259
Date(2016,02,03,00,04,43,00);1;224.26286;0.00124
Date(2016,02,03,00,04,44,00);1;201.84442;0.00285
Date(2016,02,03,00,04,45,00);1;202.13026;0.00278
Date(2016,02,03,00,04,46,00);1;215.31695;0.00134
Date(2016,02,03,00,04,47,00);1;209.32636;0.00820
Date(2016,02,03,00,04,48,00);1;214.58558;0.00492
Date(2016,02,03,00,04,49,00);1;221.21662;0.00497
Date(2016,02,03,00,04,50,00);1;246.24844;0.00338
Date(2016,02,03,00,04,51,00);1;192.65384;0.00253
Date(2016,02,03,00,04,52,00);1;227.21949;0.00224
Date(2016,02,03,00,04,53,00);1;187.29612;0.00092
Date(2016,02,03,00,04,54,00);1;198.20461;0.00261
Date(2016,02,03,00,04,55,00);1;186.74513;0.00135
Date(2016,02,03,00,04,56,00);1;208.74117;0.00175
Date(2016,02,03,00,04,57,00);1;193.63486;0.00023
Date(2016,02,03,00,04,58,00);0;0.00000;0.00000
Date(2016,02,03,00,04,59,00);0;0.00000;0.00000
Date(2016,02,03,00,05,00,00);0;0.00000;0.00000
Date(2016,02,03,00,05,01,00);0;0.00000;0.00000
Date(2016,02,03,00,05,02,00);0;0.00000;0.00000
Date(2016,02,03,00,05,03,00);0;0.00000;0.00000
Date(2016,02,03,00,05,04,00);0;0.00000;0.00000
Date(2016,02,03,00,05,05,00);0;0.00000;0.00000
Date(2016,02,03,00,05,06,00);0;0.00000;0.00000
Date(2016,02,03,00,05,07,00);0;0.00000;0.00000
Date(2016,02,03,00,05,08,00);0;0.00000;0.00000
Date(2016,02,03,00,05,09,00);0;0.00000;0.00000
Date(2016,02,03,00,05,10,00);0;0.00000;0.00000
Date(2016,02,03,00,05,11,00);0;0.00000;0.00000
Date(2016,02,03,00,05,12,00);0;0.00000;0.00000
Date(2016,02,03,00,05,13,00);0;0.00000;0.00000
Date(2016,02,03,00,05,14,00);0;0.00000;0.00000
Date(2016,02,03,00,05,15,00);0;0.00000;0.00000
Date(2016,02,03,00,05,16,00);0;0.00000;0.00000
Date(2016,02,03,00,05,17,00);0;0.00000;0.00000
Date(2016,02,03,00,05,18,00);0;0.00000;0.00000
Date(2016,02,03,00,05,19,00);0;0.00000;0.00000
Date(2016,02,03,00,05,20,00);0;0.00000;0.00000
Date(2016,02,03,00,05,21,00);0;0.00000;0.00000
Date(2016,02,03,00,05,22,00);0;0.00000;0.00000
Date(2016,02,03,00,05,23,00);0;0.00000;0.00000
Date(2016,02,03,00,05,24,00);0;0.00000;0.00000
Date(2016,02,03,00,05,25,00);0;0.00000;0.00000
Date(2016,02,03,00,05,26,00);0;0.00000;0.00000
Date(2016,02,03,00,05,27,00);1;213.24113;0.00091
Date(2016,02,03,00,05,28,00);1;275.02456;0.00479
Date(2016,02,03,00,05,29,00);1;235.56921;0.00394
Date(2016,02,03,00,05,30,00);1;220.17358;0.00381
Date(2016,02,03,00,05,31,00);1;195.50169;0.00215
Date(2016,02,03,00,05,32,00);1;221.13479;0.00249
Date(2016,02,03,00,05,33,00);1;215.06344;0.00406
Date(2016,02,03,00,05,34,00);1;198.54273;0.00547
Date(2016,02,03,00,05,35,00);1;213.90158;0.00696
Date(2016,02,03,00,05,36,00);1;219.16792;0.00812
Date(2016,02,03,00,05,37,00);1;204.79221;0.00626
Date(2016,02,03,00,05,38,00);1;206.59273;0.00196
Date(2016,02,03,00,05,39,00);1;177.19022;0.00029
Date(2016,02,03,00,05,40,00);1;209.19797;0.00331
Date(2016,02,03,00,05,41,00);1;223.58556;0.00425
Date(2016,02,03,00,05,42,00);1;204.71143;0.00402
Date(2016,02,03,00,05,43,00);1;203.59792;0.00562
Date(2016,02,03,00,05,44,00);1;207.01878;0.00161
Date(2016,02,03,00,05,45,00);1;191.59468;0.00546
Date(2016,02,03,00,05,46,00);1;197.50875;0.00826
Date(2016,02,03,00,05,47,00);1;213.30895;0.00642
Date(2016,02,03,00,05,48,00);1;193.77168;0.00307
Date(2016,02,03,00,05,49,00);1;221.40662;0.00851
Date(2016,02,03,00,05,50,00);1;214.51882;0.00268
